"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "JSON with Comments", "XML", "JavaScript", "Markdown", "Shell Script", "HTML", "YAML", "CSS", "Log", "SQLite", "PostCSS", "comment", "blank", "total"
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/src/services/types.ts", "TypeScript", 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24, 286
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/src/utils/nameGenerator.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 13, 71
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/tsconfig.json", "JSON with Comments", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 33
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/tsconfig.node.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/vite.config.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/vajrap/workspace/MyProject/Client/text-visualizer/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 22, 73
"/Users/vajrap/workspace/MyProject/Client/text-visualizer/bun.lock", "JSON with Comments", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 194
"/Users/vajrap/workspace/MyProject/Client/text-visualizer/package.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/Users/vajrap/workspace/MyProject/Client/text-visualizer/public/app.js", "JavaScript", 0, 0, 0, 0, 0, 1853, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 1859
"/Users/vajrap/workspace/MyProject/Client/text-visualizer/public/app.ts", "TypeScript", 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 30, 280
"/Users/vajrap/workspace/MyProject/Client/text-visualizer/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 6, 43
"/Users/vajrap/workspace/MyProject/Client/text-visualizer/public/style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 284, 0, 0, 0, 6, 46, 336
"/Users/vajrap/workspace/MyProject/Client/text-visualizer/public/textParser.js", "JavaScript", 0, 0, 0, 0, 0, 228, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 230
"/Users/vajrap/workspace/MyProject/Client/text-visualizer/public/textParser.ts", "TypeScript", 276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 49, 402
"/Users/vajrap/workspace/MyProject/Client/text-visualizer/public/tooltip.js", "JavaScript", 0, 0, 0, 0, 0, 1405, 0, 0, 0, 0, 0, 0, 0, 0, 55, 52, 1512
"/Users/vajrap/workspace/MyProject/Client/text-visualizer/public/tooltip.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 19, 112
"/Users/vajrap/workspace/MyProject/Client/text-visualizer/server.ts", "TypeScript", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 22, 173
"/Users/vajrap/workspace/MyProject/Client/text-visualizer/tsconfig.json", "JSON with Comments", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/build-manifest.json", "JSON", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/cache/next-devtools-config.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/fallback-build-manifest.json", "JSON", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/logs/next-development.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2003, 0, 0, 0, 91, 2094
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/package.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/prerender-manifest.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/routes-manifest.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app-paths-manifest.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/_not-found/page.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/_not-found/page/app-paths-manifest.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/_not-found/page/build-manifest.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/_not-found/page/next-font-manifest.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/_not-found/page/react-loadable-manifest.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/_not-found/page/server-reference-manifest.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/_not-found/page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-login/route.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-login/route/app-paths-manifest.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-login/route/build-manifest.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-login/route/server-reference-manifest.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-login/route_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-register/route.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-register/route/app-paths-manifest.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-register/route/build-manifest.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-register/route/server-reference-manifest.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-register/route_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/character-creation/page.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/character-creation/page/app-paths-manifest.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/character-creation/page/build-manifest.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/character-creation/page/next-font-manifest.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/character-creation/page/react-loadable-manifest.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/character-creation/page/server-reference-manifest.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/character-creation/page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/mock/page.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/mock/page/app-paths-manifest.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/mock/page/build-manifest.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/mock/page/next-font-manifest.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/mock/page/react-loadable-manifest.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/mock/page/server-reference-manifest.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/mock/page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/page.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/page/app-paths-manifest.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/page/build-manifest.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/page/next-font-manifest.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/page/react-loadable-manifest.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/page/server-reference-manifest.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/login/page.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/login/page/app-paths-manifest.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/login/page/build-manifest.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/login/page/next-font-manifest.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/login/page/react-loadable-manifest.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/login/page/server-reference-manifest.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
