"filename", "language", "XML", "TypeScript", "TypeScript JSX", "JSON", "JSON with Comments", "JavaScript", "Markdown", "Shell Script", "HTML", "YAML", "Docker", "CSS", "Log", "Properties", "comment", "blank", "total"
"/Users/vajrap/workspace/MyProject/Client/webapp/LANGUAGE_SWITCHING.md", "Markdown", 0, 0, 0, 0, 0, 0, -164, 0, 0, 0, 0, 0, 0, 0, 0, -64, -228
"/Users/vajrap/workspace/MyProject/Client/webapp/MIGRATION_STATUS.md", "Markdown", 0, 0, 0, 0, 0, 0, -53, 0, 0, 0, 0, 0, 0, 0, 0, -18, -71
"/Users/vajrap/workspace/MyProject/Client/webapp/TESTING_CHECKLIST.md", "Markdown", 0, 0, 0, 0, 0, 0, -68, 0, 0, 0, 0, 0, 0, 0, 0, -16, -84
"/Users/vajrap/workspace/MyProject/Client/webapp/app/api/test-login/route.ts", "TypeScript", 0, -25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -30
"/Users/vajrap/workspace/MyProject/Client/webapp/app/api/test-register/route.ts", "TypeScript", 0, -27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5, -33
"/Users/vajrap/workspace/MyProject/Client/webapp/app/character-creation/CharacterCreationView.tsx", "TypeScript JSX", 0, 0, -609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, -55, -696
"/Users/vajrap/workspace/MyProject/Client/webapp/app/character-creation/characterStatsData.ts", "TypeScript", 0, -741, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -34, -793
"/Users/vajrap/workspace/MyProject/Client/webapp/app/character-creation/page.tsx", "TypeScript JSX", 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -7
"/Users/vajrap/workspace/MyProject/Client/webapp/app/character-creation/useCharacterCreationLogic.ts", "TypeScript", 0, -249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, -39, -317
"/Users/vajrap/workspace/MyProject/Client/webapp/app/components/GlobalComponents.tsx", "TypeScript JSX", 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -16
"/Users/vajrap/workspace/MyProject/Client/webapp/app/game/GameView.tsx", "TypeScript JSX", 0, 0, -132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -15, -159
"/Users/vajrap/workspace/MyProject/Client/webapp/app/game/mock/page.tsx", "TypeScript JSX", 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -4, -17
"/Users/vajrap/workspace/MyProject/Client/webapp/app/game/page.tsx", "TypeScript JSX", 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -7
"/Users/vajrap/workspace/MyProject/Client/webapp/app/layout.tsx", "TypeScript JSX", 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -21
"/Users/vajrap/workspace/MyProject/Client/webapp/app/login/LoginView.tsx", "TypeScript JSX", 0, 0, -366, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -31, -403
"/Users/vajrap/workspace/MyProject/Client/webapp/app/login/page.tsx", "TypeScript JSX", 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -7
"/Users/vajrap/workspace/MyProject/Client/webapp/app/login/useLoginLogic.ts", "TypeScript", 0, -152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -24, -194
"/Users/vajrap/workspace/MyProject/Client/webapp/app/page.tsx", "TypeScript JSX", 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -7
"/Users/vajrap/workspace/MyProject/Client/webapp/app/register/RegisterView.tsx", "TypeScript JSX", 0, 0, -524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -38, -571
"/Users/vajrap/workspace/MyProject/Client/webapp/app/register/page.tsx", "TypeScript JSX", 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -7
"/Users/vajrap/workspace/MyProject/Client/webapp/app/register/useRegisterLogic.ts", "TypeScript", 0, -221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, -34, -282
"/Users/vajrap/workspace/MyProject/Client/webapp/app/theme/ThemeProvider.tsx", "TypeScript JSX", 0, 0, -71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -78
"/Users/vajrap/workspace/MyProject/Client/webapp/bun.lock", "JSON with Comments", 0, 0, 0, 0, -638, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -598, -1236
"/Users/vajrap/workspace/MyProject/Client/webapp/dist/README.md", "Markdown", 0, 0, 0, 0, 0, 0, -117, 0, 0, 0, 0, 0, 0, 0, 0, -34, -151
"/Users/vajrap/workspace/MyProject/Client/webapp/dist/assets/index-IR2mf7Ta.js", "JavaScript", 0, 0, 0, 0, 0, -283, 0, 0, 0, 0, 0, 0, 0, 0, -67, -45, -395
"/Users/vajrap/workspace/MyProject/Client/webapp/dist/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, -124, 0, 0, 0, 0, 0, -10, -19, -153
"/Users/vajrap/workspace/MyProject/Client/webapp/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, -124, 0, 0, 0, 0, 0, -10, -19, -153
"/Users/vajrap/workspace/MyProject/Client/webapp/next-env.d.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -2, -7
"/Users/vajrap/workspace/MyProject/Client/webapp/next.config.ts", "TypeScript", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -9
"/Users/vajrap/workspace/MyProject/Client/webapp/package-lock.json", "JSON", 0, 0, 0, -4565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4566
"/Users/vajrap/workspace/MyProject/Client/webapp/package.json", "JSON", 0, 0, 0, -43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -44
"/Users/vajrap/workspace/MyProject/Client/webapp/public/README.md", "Markdown", 0, 0, 0, 0, 0, 0, -117, 0, 0, 0, 0, 0, 0, 0, 0, -34, -151
"/Users/vajrap/workspace/MyProject/Client/webapp/server.ts", "TypeScript", 0, -46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -11, -69
"/Users/vajrap/workspace/MyProject/Client/webapp/src/App.tsx", "TypeScript JSX", 0, 0, -48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -59
"/Users/vajrap/workspace/MyProject/Client/webapp/src/L10N/buffDebuffEnums.ts", "TypeScript", 0, -51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -7, -62
"/Users/vajrap/workspace/MyProject/Client/webapp/src/L10N/buffsAndDebuffs.ts", "TypeScript", 0, -223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5, -230
"/Users/vajrap/workspace/MyProject/Client/webapp/src/L10N/skillEnums.ts", "TypeScript", 0, -153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -264, -71, -488
"/Users/vajrap/workspace/MyProject/Client/webapp/src/L10N/skills.ts", "TypeScript", 0, -428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4, -434
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/Alert/AlertBox.tsx", "TypeScript JSX", 0, 0, -281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -16, -304
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/Alert/index.ts", "TypeScript", 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/GameView/ActionScheduleModal.tsx", "TypeScript JSX", 0, 0, -319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -21, -352
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/GameView/ActionSelectionModal.tsx", "TypeScript JSX", 0, 0, -160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -13, -180
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/GameView/CharacterStatsModal.tsx", "TypeScript JSX", 0, 0, -767, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, -29, -827
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/GameView/EquipmentSlot.tsx", "TypeScript JSX", 0, 0, -237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -16, -263
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/GameView/GameSidebar.tsx", "TypeScript JSX", 0, 0, -126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -16, -154
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/GameView/GameViewIcon.tsx", "TypeScript JSX", 0, 0, -93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -9, -108
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/GameView/PartyMemberCard.tsx", "TypeScript JSX", 0, 0, -210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, -14, -240
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/GameView/index.ts", "TypeScript", 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -22
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/LanguageSwitcher.tsx", "TypeScript JSX", 0, 0, -286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -23, -321
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/MusicPlayer/components/MusicPlayer.tsx", "TypeScript JSX", 0, 0, -361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -23, -393
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/MusicPlayer/components/ScrollingText.tsx", "TypeScript JSX", 0, 0, -55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -62
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/MusicPlayer/components/SongList.tsx", "TypeScript JSX", 0, 0, -113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -119
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/MusicPlayer/hooks/useMusicPlayer.ts", "TypeScript", 0, -179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -37, -222
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/MusicPlayer/index.ts", "TypeScript", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/MusicPlayer/songList.ts", "TypeScript", 0, -99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -102
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/MusicPlayer/types.ts", "TypeScript", 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -20
"/Users/vajrap/workspace/MyProject/Client/webapp/src/config/actions.ts", "TypeScript", 0, -101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, -8, -125
"/Users/vajrap/workspace/MyProject/Client/webapp/src/data/mockPartyData.ts", "TypeScript", 0, -528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -40, -63, -631
"/Users/vajrap/workspace/MyProject/Client/webapp/src/localization/index.ts", "TypeScript", 0, -987, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -47, -1052
"/Users/vajrap/workspace/MyProject/Client/webapp/src/main.tsx", "TypeScript JSX", 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -3, -18
"/Users/vajrap/workspace/MyProject/Client/webapp/src/services/RestHandler.ts", "TypeScript", 0, -88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -14, -107
